Поле;Описание Теста 1;Описание Теста 2;Описание Теста 3
Название проекта;Приложение для бронирования столиков RestaurantBooking;Приложение для бронирования столиков RestaurantBooking;Приложение для бронирования столиков RestaurantBooking
Рабочая версия;Версия 1.0;Версия 1.0;Версия 1.0
Имя тестирующего;Виктор;Виктор;Виктор
Дата(ы) теста;19.12.2025;19.12.2025;19.12.2025
Тестовый пример #;FN_TC_1;FN_TC_2;FN_TC_3
Приоритет;Высокий;Средний;Средний
Заголовок теста;Проверка лимита столиков при бронировании;Смена данных пользователя в профиле;Добавление отзыва и обновление рейтинга
Краткое изложение;Программа должна запрещать бронирование, если все столики на выбранное время заняты.;Возможность смены имени и пароля пользователя.;Автоматический пересчет рейтинга ресторана после добавления нового отзыва.
Этапы теста;1. Выбрать ресторан. 2. Выбрать время, на которое уже создано макс. число броней. 3. Нажать 'Забронировать'.;1. Перейти в профиль. 2. Нажать 'Редактировать'. 3. Изменить имя. 4. Сохранить.;1. Зайти в детали ресторана. 2. Оставить отзыв с оценкой. 3. Проверить средний балл заведения.
Тестовые данные;Выбранное время с занятыми местами;Новое имя пользователя;Оценка (например, 5 звезд) и текст отзыва.
Ожидаемый результат;Вывод сообщения 'Нет свободных столиков', блокировка создания записи в БД.;Имя успешно обновлено в базе данных Room и отображается в интерфейсе.;Отзыв отображается в списке, средний рейтинг ресторана изменился.
Фактический результат;Результат подтвержден;Результат подтвержден;Результат подтвержден
Статус;Зачет;Зачет;Зачет
Примечания;Ошибок не обнаружено;Ошибок не обнаружено;Ошибок не обнаружено
